ano,numero,publicacao,assunto,classificacao,situacao,validade,servidores,link,alteracao
2013,3983,08/08/2013,Comissão Local do PDI,comissao,"Revogada pela Portaria CPV.0015/2015, de 09/03/2015",,,https://drive.ifsp.edu.br/s/TerxiAwbxpM7oFE,
2013,4761,09/24/2013,Subcomissão Permanente de Acompanhamento da Jornada de Trabalho dos Servidores Técnico-Administrativos,comissao,"Revogada pela Portaria 5.218, de 24/10/2013",,,https://drive.ifsp.edu.br/s/0yZP5237y8PIh5H,
2013,5025,10/10/2013,Fiscais de contrato 61/12 - Esc Segurança e Vigilância Patrimonial Ltda - EPP (Vigilância),fiscalizacao,"Alterada pela Portaria 990, de 10/03/2014",,,https://drive.ifsp.edu.br/s/4PzCAPdmzGyeEuG,Altera 917/2013
2013,5026,10/10/2013,Conformidade de Registro de Gestão,,"Alterada pela Portaria 991, de 10/03/2014",,,https://drive.ifsp.edu.br/s/IbtyPH7M5Vc4Vuf,
2013,5027,10/10/2013,Fiscais de contrato 888/10 - Sandra Aparecida Soares (Cantina),fiscalizacao,"Alterada pela Portaria 1.469, de 03/04/2014",,,https://drive.ifsp.edu.br/s/TsAhGBhDjAGrvMk,Altera 2303/2013
2013,5218,10/24/2013,Subcomissão Permanente de Acompanhamento da Jornada de Trabalho dos Servidores Técnico-Administrativos,comissao,"Alterada pela Portaria 861, de 21/02/2014",,,https://drive.ifsp.edu.br/s/VCstAz0BL1dbIeN,
2013,5345,11/05/2013,"Comitê de Ensino, Pesquisa e Inovação e Extensão (CEPIE)",comissao,"Alterada pela Portaria 1.052, de 13/03/2014",,,https://drive.ifsp.edu.br/s/U71j2fAwHHkgYqQ,Altera 762/2013
2013,5346,11/05/2013,Comissão de Inventário Físico Anual do Almoxarifado de 2013,comissao,extinta,,,https://drive.ifsp.edu.br/s/gOD2gQb2lbAYlwV,
2013,5347,11/05/2013,"Comissão de Inventário Físico Anual dos Bens Imóveis, Móveis e Intangóveis de 2013",comissao,extinta,,,https://drive.ifsp.edu.br/s/sdgMWoyBdZyKuT4,
2013,5584,11/19/2013,Fiscais de contrato 01/2013-CPV - Solutec Gestão em Telecomunicações Ltda - EPP (Circuito fechado de TV),fiscalizacao,extinta,,,https://drive.ifsp.edu.br/s/9K7z88dnPN81RAj,
2013,6201,12/20/2013,Calendário Escolar 2014,,"Alterada pela Portaria 689, de 17/02/2014",,,https://drive.ifsp.edu.br/s/4aKb3AMuJoVUSTm,
