numero,publicacao,assunto,classificacao,permanente,situacao,validade,servidores,link,alteracao
CPV.0001,01/11/2021,Trata da designação dos membros do Núcleo de Apoio às Pessoas com Necessidades Educacionais Específicas – NAPNE do IFSP-Câmpus Capivari,F,,,Alterada pela Portaria nº CPV.0051/2021,sem mandato expresso,"Beatriz Simonaio Birelli Falco, Beatriz Simonaio Birelli Falco;;Éder Valdir de Oliveira;;Gianna Andréia Ferreira Gobbi Spadote;;Grazielle Nayara Felício Silva;;Grazielle Cristine Elias;;Isabel Cristina das Chagas Oliveira;;Ivana Lopes de Oliveira;;Juscelino Pereira de Souza;;Leticia Pedroso Ramos;;Maria Heloisa Saraiva Vicente;;Roberta Pereira Pires;Rubia Dias Adão",https://drive.ifsp.edu.br/s/nuSw607kEctVbo8,View Event,,
CPV.0002,01/20/2021,Trata da designação de membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do curso (CEIC) de Pós-Graduação Lato Sensu em Ensino de Línguas do IFSP – Câmpus Capivari.,C,,,Alterada pela Portaria nº CPV.129/2021,sem mandato expresso,Tiago Pellim da Silva;Erica Maio Taveira Grande;Fabiana Bigaton Tonin;Fernanda Tonelli,https://drive.ifsp.edu.br/s/72sQjiZrNsMD7SA,View Event,,
CPV.0003,01/20/2021,Trata da Designação dos membros da Comissão de Matrícula para Auxílio à Coordenadoria de Registros Acadêmicos do IFSP - Câmpus Capivari.,C,,,Alterada pela Portaria nº CPV.0066/2021,até fim do período de matrículas,Grazielle Cristine Elias;Arlete Teresinha Esteves Brandi;Ivana Lopes de Oliveira Arruda;Leticia Pedroso Ramos;Washington Ernando Pereira Benício,https://drive.ifsp.edu.br/s/e3AySUZyuUd8trd,View Event,,
CPV.0004,01/20/2021,"Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (ceic) Técnico em Administração Integrado ao Ensino Médio, modalidade Educação de Jovens e Adultos do IFSP - Câmpus Capivari.",M,,,Alterada pela Portaria nº CPV.0020/2021,Até 11 de Abril de 2022,Fleides Teodoro de Lima;Carlos Roberto Paviotti;Daniele Cordeiro Motta;Fernando Cesar Russo Gomes;Gianna Andréia Ferreira Gobbi Spadote;Gustavo Matarazzo Rezende;Igor Vasconcelos Nogueira;Isabel Cristina das Chagas;Leticia Pedroso Ramos;Marcelo Simplício de Lyra;Maria Amélia Ferracciú Pagotto;Mauro Vanderlei Amorim;Roberta Pereira Pires;Talita Barbosa Plantcoski Bulgraen;Valdir Antonio Vitorino Filho,https://drive.ifsp.edu.br/s/iEuJzE1TtOAomgG,View Event,,
CPV.0005,01/20/2021,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Recursos Humanos concomitante/Subsequente do IFSP - Câmpus Capivari.,C,,,Alterada pela Portaria nº CPV.0037/2021,encerra com a formatura da primeira turma do curso,Igor Vasconcelos Nogueira;Fernando Cesar Russo Gomes	Fleides Teodoro de Lima	Gustavo Baptistella Leite da Silva	Gustavo Matarazzo Rezende	Helen Gláucia Stefanelli	Isabel Cristina das Chagas Oliveira	Juscelino Pereira de Souza	Leticia Pedroso Ramos	Valdir Antonio Vitorino Filho,https://drive.ifsp.edu.br/s/n731Uq50mwZIhGq,View Event,,
CPV.0006,01/20/2021,Trata da Designação dos membros da Comissão Verificadora de Aproveitamento de Estudos do Curso Técnico em Administração Integrado ao Ensino Médio na Modalidade de Educação de Jovens e Adultos do IFSP – Câmpus Capivari.,C,,,alterada pela portari 48/2023,sem mandato expresso,Juscelino Pereira de Souza;Ana Carla Dantas Midões;Mauro Vanderlei de Amorim;Francine Maria Ribeiro,https://drive.ifsp.edu.br/s/nFWkALTHJ3TdPRX,View Event,,
CPV.0007,01/25/2021,Trata da designação dos membros da Comissão Local de Permanência e Êxito dos Estudantes do IFSP - Câmpus Capivari.,C,,,Alterada pela Portaria nº CPV.0038/2021,sem mandato expresso,"Beatriz Simonaio Birelli Falco;Carlos Fernando Barboza da Silva	Everton Pereira Barbosa	""Fleides Teodoro de Lima;Grazielle nayara Felício Silva""	Gustavo Baptistella Leite da Silva	Gustavo Matarazzo Rezende	Maria Elisa de Castro Almeida	Maria Heloisa Saraiva Vicente	Mateus Nordi Esperança	Pedro Henrique Alcântara da Silva	Rafael Fernando Diorio	Thalita Arthur",https://drive.ifsp.edu.br/s/rhRJ6Zl4pm3EjRJ,Out of quota. Click to get more...,,
CPV.0008,01/25/2021,Trata da designação dos membros da Comissão para Elaboração e Acompanhamento do Projeto Político Pedagógico do IFSP - Câmpus Capivari.,C,,,Alterada pela Portaria nº CPV.0016/2021,sem mandato expresso,Isabel Cristina das Chagas Oliveira;Arlete Teresinha Esteves Brandi	Carlos Fernando Barboza da Silva	Everton Pereira Barbosa	Fabiana Bigaton Tonin	Gianna Andréia Ferreira Gobbi Spadote	Grazielle Nayara Felício Silva	Maria Amélia Ferracciú Pagotto	Talita Barbosa Plantcoski Bulgraen,https://drive.ifsp.edu.br/s/P5mmG2ylEO8CTAa,Altera CPV.0108/2020;0030/2020;0074/2019;0046/2018;0071/2017;0033/2017;0104/2016;0037/2016;0130/2015;0091/2015;0059/2015;0007/2015;0023/2014;4384/2014;,,
CPV.0009,01/25/2021,Trata da nomeação dos membros do Conselho de Câmpus do IFSP - Câmpus Capivari.,M,,,Alterada pela Portaria nº CPV.0040/2021,Mandato dos membros até 11 de dezembro de 2021,Alexandre Camargo Maia;Arlete Teresinha Esteves Brandi	Isabel Cristina das Chagas Oliveira	Maria Heloisa Saraiva Vicente	Carlos Roberto Paviotti	Fabiana Bigaton Tonin	Francine Maria Ribeiro	Valdir Antonio Vitorino Filho	Roberto Bineli Muterle (1º suplente)	Vitor Brandi Junior (2º suplente)	Beatriz Santos Silva	Josiane Donisete de Moraes Suzuki	João Pedro Adami de Carvalho	Viviane Garcia de Barros Silva (1ª suplente)	Héllen Cristine Florentino Cruz (2ª suplente)	Daniela Loatti	Gabriel Sanches Cerezer,https://drive.ifsp.edu.br/s/BVeop1eGNGeeH1e,Altera CPV.0232/2020;0163/2020;0087/2020;0188/2019;,,
CPV.0010,02/09/2021,Trata da designação dos fiscais do contrato 08.712/2020 do IFSP Câmpus Capivari. (ESCADA),F,,,Revogada pela Portaria  CPV IFSP Nº .0194/2021,"até o vencimento do contrato e de sua garantia, quando houver",Eduardo camargo maia;Antonio Carlos da Silva Bonfim,https://drive.ifsp.edu.br/s/25Q18TeBex0EBrv,,,
